order_id,sku,quantity,arrival,deadline,service_class
D0001,SKU-E,2,222.78,342.78,standard
D0002,SKU-A,1,146.67,266.67,standard
D0003,SKU-A,1,29.98,149.98,standard
D0004,SKU-D,3,192.76,252.76,express
D0005,SKU-C,12,89.3,209.3,standard
D0006,SKU-A,1,28.84,88.84,express
D0007,SKU-A,1,90.16,210.16,standard
D0008,SKU-A,2,133.82,253.82,standard
D0009,SKU-A,2,52.79,112.79,express
D0010,SKU-D,12,105.45,225.45,standard
D0011,SKU-A,1,52.29,172.29,standard
D0012,SKU-B,2,123.76,243.76,standard
D0013,SKU-B,1,239.24,359.24,standard
D0014,SKU-C,1,119.62,179.62,express
D0015,SKU-D,2,37.79,97.79,express
D0016,SKU-A,12,5.75,125.75,standard
D0017,SKU-C,2,49.48,169.48,standard
D0018,SKU-E,1,77.02,197.02,standard
D0019,SKU-A,2,142.21,262.21,standard
D0020,SKU-B,1,64.67,184.67,standard
D0021,SKU-A,2,138.49,258.49,standard
D0022,SKU-B,2,60.53,120.53,express
D0023,SKU-E,5,45.55,165.55,standard
D0024,SKU-E,8,130.79,250.79,standard
D0025,SKU-A,5,40.05,160.05,standard
D0026,SKU-C,3,71.13,191.13,standard
D0027,SKU-E,5,9.15,129.15,standard
D0028,SKU-D,3,192.18,252.18,express
D0029,SKU-B,1,77.13,197.13,standard
D0030,SKU-A,8,69.58,189.58,standard
D0031,SKU-C,3,116.13,236.13,standard
D0032,SKU-C,1,102.6,162.6,express
D0033,SKU-B,5,189.14,309.14,standard
D0034,SKU-A,2,41.42,101.42,express
D0035,SKU-C,2,220.47,280.47,express
D0036,SKU-D,2,160.54,280.54,standard
D0037,SKU-D,2,82.36,202.36,standard
D0038,SKU-A,5,136.36,256.36,standard
D0039,SKU-B,2,106.48,226.48,standard
D0040,SKU-E,2,160.91,280.91,standard
D0041,SKU-D,2,108.43,228.43,standard
D0042,SKU-C,1,121.04,241.04,standard
D0043,SKU-C,1,218.06,338.06,standard
D0044,SKU-D,2,46.19,166.19,standard
D0045,SKU-A,1,227.72,347.72,standard
D0046,SKU-B,2,26.13,146.13,standard
D0047,SKU-E,1,22.35,142.35,standard
D0048,SKU-B,5,67.74,187.74,standard
